信息ID,岗位链接,搜索岗位名,岗位名称,企业名称,薪资区间,工作地点,工作经验,学历要求,岗位介绍,其他待遇,企业经营范围
763,"https://www.liepin.com/job/1957527267.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=3&d_pageSize=40&d_headId=null&d_posi=7&skId=mkdaru8suoc98jrawx5le5229m64v7ua&fkId=mkdaru8suoc98jrawx5le5229m64v7ua&ckId=hvuqy9ntbxlkoo846njfr4q1qwhq6brb&sfrom=search_job_pc&curPage=3&pageSize=40&index=7
",互联网产品经理,工业互联网产品经理,蓝智科技,13-26k·13薪,武汉,3-5年,本科,"职位描述：
1.协助架构师对平台及产品的架构设计和实现，协助架构师优化后端分布式系统的性能瓶颈与技术难题
2.探索平台及产品上的各种服务及应用场景，工业App开发的设计与实现
3.与技术总监、产品经理、项目经理紧密配合协调团队日常开发、管理与推进技术组件选型及规范 
4.化工行业toG或toB项目的需求跟进、分析；产品设计、流程机制优化及产品文档编制；协调开发、测试、交付等角色及环节，确保需求有效落地。
任职资格：
1.全日制本科及以上学历，有从事软件或平台研发类工作经验，3年年以上产品经理经历，曾承担过toG或toB项目，有大型项目设计经验者优先；
2.具备产品经理应有的基本技能，axture、XMind等；
3.深刻理解物联网、实时计算、大数据分析等其中一项或多项，熟悉SpringCloud主流框架，熟悉ZooKeeper等分布式架构和系统，有时序数据库、MPP数据库相关经验优先 ，有flink、spark等计算引擎相关经验优先，有Docker、Kubernetes等容器化技术相关经验优先，有工业级软件开发经验优先；
4.有较强的文档编写能力，能独立完成技术方案、设计方案的编写
5.知识面广，专研技术，对解决有挑战性的技术问题 充满激情
6.有独立分析和思考问题并加以解决的能力和习惯
7.善于沟通 团队协作精神良好，乐于分享经验与感悟，促进团队共同进步", 领导好 发展空间大,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息技术咨询服务；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
764,"https://www.liepin.com/job/1941762877.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=3&d_pageSize=40&d_headId=null&d_posi=8&skId=mkdaru8suoc98jrawx5le5229m64v7ua&fkId=mkdaru8suoc98jrawx5le5229m64v7ua&ckId=hvuqy9ntbxlkoo846njfr4q1qwhq6brb&sfrom=search_job_pc&curPage=3&pageSize=40&index=8
",互联网产品经理,工业互联网产品经理MES/MEC,信泰(福建)科技有限公司,18-35k,泉州,经验不限,大专,"职责描述：
1负责生产制造全域数字化的项目实施或产品开发，包括但不限于:生产计划管理、车间生产、仓储管理、质量管理等;
2.负责MES等生产制造领域的数字化方案设计、系统开发;
3.负责MES等生产制造领域相关数字化项目的实施落地，包括但不限于项目管理、系统测试、用户培训、上线运维等。

任职要求：
1.有制造行业的全域生产管理和落地经验，能够独立完成方案设计和实施落地，包括技术选型；
2.有主导或通过MES、生产ERP(SAP等)、吊挂系统、QCM等系统的开发或项目实施经验；
3.熟悉新制造的行业趋势，了解新制造行业的核心需求，能充分考虑行业的发展趋势及新技术应用；
4.有良好的组织沟通能力和抗压能力，能够胜任复杂环境下的沟通协作;
5. 思路清晰，责任心强，能够承担工作压力，有团队协作精神，优秀的沟通协作和项目管理能力。", 五险一金 提供住宿 发展空间大 公司规模大 技能培训 节日礼物 优秀员工奖,一般项目：工程和技术研究和试验发展；制鞋原辅材料制造；面料纺织加工；产业用纺织制成品生产；针织或钩针编织物及其制品制造；家用纺织制成品制造；家具制造；汽车装饰用品销售；鞋制造；鞋帽批发；鞋帽零售；产业用纺织制成品销售；制鞋原辅材料销售；针纺织品及原料销售；以自有资金从事投资活动；高性能纤维及复合材料制造；合成纤维制造；合成纤维销售；高性能纤维及复合材料销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：货物进出口；技术进出口（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
765,"https://www.liepin.com/job/1946592981.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=3&d_pageSize=40&d_headId=null&d_posi=9&skId=mkdaru8suoc98jrawx5le5229m64v7ua&fkId=mkdaru8suoc98jrawx5le5229m64v7ua&ckId=hvuqy9ntbxlkoo846njfr4q1qwhq6brb&sfrom=search_job_pc&curPage=3&pageSize=40&index=9
",互联网产品经理,互联网产品经理,杭州悠银科技有限公司,10-15k,杭州,1-3年,本科,"不外包，不996，双休 

岗位职责： 

1. 负责产品的需求整理、原型设计、交互设计等工作; 
2. 根据产品需求撰写详细的原型设计文档; 
3. 协调开发工作、把控项目进度和质量; 
4. 分析用户反馈和行为，挖掘用户需求，对产品进行持续优化改进; 

岗位要求： 
1. 本科及以上学历，1-3年web网站产品经理工作经验 
2. 熟练使用 Axure、墨刀、Invision等原型设计软件; 
3. 对单机游戏有一定了解; 
4. 有互联网产品设计的相关经验; 

加分项： 

1. 软件工程专业优先; 
2. 有运营经验; 
3. 对心理学有一定研究; 
4.对单机游戏有一定了解; 
投递简历时请附作品链接（原型或PRD）", 游戏畅玩 零食畅享,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；网络技术服务；软件开发；信息咨询服务（不含许可类信息咨询服务）；信息技术咨询服务；信息系统集成服务；信息系统运行维护服务；数据处理和存储支持服务；互联网安全服务；互联网数据服务；计算机软硬件及辅助设备批发；五金产品批发；办公用品销售；日用百货销售；电子产品销售；广告制作；广告设计、代理；广告发布（非广播电台、电视台、报刊出版单位）；会议及展览服务；个人互联网直播服务（需备案）；玩具、动漫及游艺用品销售；动漫游戏开发；专业设计服务；品牌管理；市场营销策划；组织文化艺术交流活动；平面设计；图文设计制作；数字文化创意软件开发(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。许可项目：技术进出口；货物进出口；进出口代理；互联网信息服务；网络文化经营；第一类增值电信业务；第二类增值电信业务；信息网络传播视听节目；互联网直播服务（不含新闻信息服务、网络表演、网络视听节目）；广播电视节目制作经营；基础电信业务(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。
766,"https://www.liepin.com/job/1957262395.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=3&d_pageSize=40&d_headId=null&d_posi=10&skId=mkdaru8suoc98jrawx5le5229m64v7ua&fkId=mkdaru8suoc98jrawx5le5229m64v7ua&ckId=hvuqy9ntbxlkoo846njfr4q1qwhq6brb&sfrom=search_job_pc&curPage=3&pageSize=40&index=10
",互联网产品经理,互联网保险产品经理,北京优全智汇信息技术有限公司,15-25k,南京-建邺区,3-5年,本科,"岗位职责：
1、供给侧保险公司的拓展与维护，保证供给侧稳定。
2、完善产品体系，研发及优化保险产品。了解市场产品动向，对于保险产品进行竞品分析，对于优选产品沟通保险公司进行产品迭代或进行研发，保持产品市场竞争力及稳定性。
3、 统筹保险项目过程管理，包括但不限于产品上线进度推进、上线后相关问题的跟进解决。
4、制定承保规则、风控措施及承保流程。根据承保规则及风控措施，进行日常业务审核及超权限业务审批，提供风险评估或承保意见等日常工作。
5、制作产品、核保及风控规则材料，向业务团队和运营团队及时宣导、培训及考试。

任职资格:
1、本科及以上学历；
2、保险公司3-5年非车财险的产品核保工作经验优先；
3、参与过非车财险互联网化项目的经验者优先；
4、述职非车财险产品、条款、费率规章等；
5、具有良好的协调沟通能力及团队协作能力。", 五险一金 节日礼物 弹性工作 带薪年假,技术开发、技术推广、技术转让、技术咨询、技术服务；计算机技术培训；教育咨询（中介服务除外）；数据处理（数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外）；企业管理咨询；软件开发；设计、制作、代理、发布广告；计算机系统服务；应用软件服务；经济贸易咨询；市场调查；企业策划；会议服务；承办展览展示活动；接受金融机构委托从事金融信息技术外包服务；接受金融机构委托从事金融业务流程外包服务；接受金融机构委托从事金融知识流程外包服务；火车票销售代理；投资咨询；投资管理；资产管理；销售自行开发后的产品、电子产品、针纺织品、服装、鞋帽、五金交电、化工产品（不含危险化学品及一类易制毒化学品）、建筑材料、体育用品、文化用品、日用品、工艺品、照相器材、珠宝首饰、通讯设备、花、草及观赏植物；销售食品；经营电信业务：出版物零售。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
767,"https://www.liepin.com/job/1956077557.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=3&d_pageSize=40&d_headId=null&d_posi=11&skId=mkdaru8suoc98jrawx5le5229m64v7ua&fkId=mkdaru8suoc98jrawx5le5229m64v7ua&ckId=hvuqy9ntbxlkoo846njfr4q1qwhq6brb&sfrom=search_job_pc&curPage=3&pageSize=40&index=11
",互联网产品经理,互联网产品经理,上海复硕正态信息技术有限公司,15-30k·13薪,上海-静安区,3-5年,本科,"岗位职责：
1、参与公司互联网产品设计，与业务深度沟通，调研、收集、整理用户场景及需求，为产品设计提供有价值的规划建议；
2、负责公司业务发展战略提出的产品需求和建议，提炼整理业务流程；
3、结合行业趋势、新技术趋势，对公司产品提出设计的优化建议并实现；
4、负责产品规划、竞品分析等，进行产品的优化改进及新功能策划等；
5、参与产品测试、更新的相关执行工作；
6、协调技术开发人员，把控产品开发进度，跟进产品开发、测试上线等相关工作。

任职要求
1、本科及以上学历，3年以上产品经理经验；
2、对私域c端运营产品了解，有用户个性化服务产品经验优先；
3、熟练掌握常用的原型工具、思维导图工具、文档工具。
4、有较好的需求调研及分析能力；
5、具有良好的团队意识和责任心，能够承担工作压力；", 五险一金 年终奖金 定期体检 优秀员工奖 节日礼物 团队聚餐,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；企业管理咨询，商务信息咨询，文化艺术交流策划咨询，市场营销策划，市场信息咨询与调查（不得从事社会调查、社会调研、民意调查、民意测验），会展会务服务，计算机网络工程，计算器系统集成，电子商务（不得从事增值电信、金融业务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
768,"https://www.liepin.com/job/1941937397.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=3&d_pageSize=40&d_headId=null&d_posi=12&skId=mkdaru8suoc98jrawx5le5229m64v7ua&fkId=mkdaru8suoc98jrawx5le5229m64v7ua&ckId=hvuqy9ntbxlkoo846njfr4q1qwhq6brb&sfrom=search_job_pc&curPage=3&pageSize=40&index=12
",互联网产品经理,互联网产品经理（入职五险一金+全额公积金）,红杉中国,10-20k,杭州-余杭区,1-3年,本科,"岗位职责
1.负责安全产品的市场定位，产品设计，规划产品愿景及发展方向，定义开发迭代范围，目标实现路径和策略。
2.跟踪市场趋势和竞争，分析竞品，明确产品战略，提高核心竞争力。
3.对用户体验、用户数、销售额等关键指标负责。

职位描述
1、熟练掌握产品经理的工作工具，包括原型图设计（axure等）、PRD文档编写。
2、对交互设计有一定的经验，并了解一些基本的原则。
3、理解网络、系统、数据库、安全等技术的基本实现原理，或有过相关的工作经验。
4、能充分理解商业目标，对市场、行业有自己的调研方法，善于与客户沟通，善于换位思考。
5、有过成功商业产品的经验，在用户数或销售额上有过成功实践。
6、两年以上产品经理相关工作经历。
7、有过安全相关经验者优先。", 年终奖金 五险一金 发展空间大 弹性工作 公积金全额缴纳 试用期薪资不打折 入职缴纳五险一金 补充医疗险 不打卡,受托管理股权投资基金，从事投融资管理及相关咨询服务（依法须经批准的项目，经相关部门批准后方可开展经营活动）
769,"https://www.liepin.com/job/1956808659.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=3&d_pageSize=40&d_headId=null&d_posi=13&skId=mkdaru8suoc98jrawx5le5229m64v7ua&fkId=mkdaru8suoc98jrawx5le5229m64v7ua&ckId=hvuqy9ntbxlkoo846njfr4q1qwhq6brb&sfrom=search_job_pc&curPage=3&pageSize=40&index=13
",互联网产品经理,互联网产品经理,国药控股医疗投资管理有限公司,薪资面议,上海-静安区,3-5年,学历不限,"岗位职责：
1、负责集团小程序及CRM系统的产品规划，熟悉产品从⽤户研究，业务调研，需求分析到开 发实现，产品发布上线的整个流程；
2、负责产品功能需求的采集汇总，需求分析以及需求调研，进⾏充分的竞品分析，同业务以
及技术部⻔保持密切沟通； 
3、根据业务需求完成相应的产品原型设计，功能流程图，以及需求⽂档； 
4、协调开发，设计等团队完成新产品的开发，验收，上线，以及业务端的培训⼯作；
5、持续关注产品的终端使⽤者需求和市场反馈，提出有建设性的改善建议，能够持续优化⽤ 户体验；
6、把控项⽬进度和时间节点，协调各⽅资源确保产品按时落地和上线，达成业务⽬标。

任职要求
1、4年以上互联⽹产品经理⼯作经验，其中有2年CRM或患者管理⼯作经验，有移动医
疗/健康管理/互联⽹医院PM经验者优先考虑； 
2. 热爱互联⽹医疗产品，熟悉各种互联⽹医疗商业
模式及运营模式，了解各模式的优势和瓶颈，能够持续关注和使⽤⾏业竞品新产品，提炼总结功 能亮点和缺点； 
3. 具备⼀定的项⽬管理能⼒，熟练使⽤各种产品设计和流程图设计⼯具，脑图⼯ 具，产品⽂档制作⼯具，能够独⽴完成产品设计⽂档编写并控制项⽬⻛险和推动项⽬进度； 
4. 较强的逻辑思维、换位思考能⼒，能准确把握和理解业务及⽤户的需求并转化为产品功能需求；", 领导好 技能培训 岗位晋升 发展空间大,一般项目：医院投资管理，医疗设备租赁，医疗器械销售，企业管理咨询，市场信息咨询与管理，投资管理，企业管理，资产管理，医疗产业投资，物业管理，计算机及网络科技、自动化设备专业领域内的技术开发、技术转让、技术服务、技术咨询，计算机信息系统集成，电子产品、智能机器人、消毒产品、网络设备及安全设备销售，自有设备租赁，货物或技术进出口（国家禁止或设计行政审批的货物和技术进出口除外）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
770,"https://www.liepin.com/job/1954621823.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=3&d_pageSize=40&d_headId=null&d_posi=14&skId=mkdaru8suoc98jrawx5le5229m64v7ua&fkId=mkdaru8suoc98jrawx5le5229m64v7ua&ckId=hvuqy9ntbxlkoo846njfr4q1qwhq6brb&sfrom=search_job_pc&curPage=3&pageSize=40&index=14
",互联网产品经理,互联网产品经理,左岸环境,12-15k,重庆,3-5年,本科,"产品经理C端
工作职责：
1. 根据公司以及运营、市场等部门的业务策略，负责产品化落地，包括：产品总体解决方案设计，软硬件产品定义，产品商务属性定义等相关工作。
2. 完成产品整体业务/应用解决方案设计，包括产品范围、产品结构、业务模块、业务流程，业务场景等。
3. 通过用户调研，竞品分析，行业洞察等，完成软硬件产品定义/需求规划，交互设计等，输出产品原型和需求说明书。
4. 完成产品路标/里程碑/版本规划，并协同UI、开发、测试等部门实现规划。
5. 完成产品商业模式设计。
6. 负责产品成本分析，以及优化目标规划。
7. 其他工作内容： 负责产品宣传/培训文档开发和维护，以及实施宣传/培训，辅助产品项目实施，上线，运营辅导等。
岗位要求：
1. 本科学历（2本及以上），计算机及其相关专业， 3年及以上产品经理相关工作经验（to C业务）/ 硕士学历，计算机及其相关专业，1年及以上产品经理相关工作经验（to C业务）。
2. 了解计算机软硬件基础知识
精通使用原型设计工具，如：Axure，Mockups，visio等
精通OFFICE软件，特别是PPT制作
3. 能独立负责用户调研，竞品分析，需求规划，交互设计，并擅长通过图文将其转化为产品原型和需求说明书。
能深入用户研究，进行需求挖掘与拆解，能独立负责一条产品线从0-1规划上线（有相关0-1产品经验者优先）。
有较强的逻辑分析能力，擅于用数据驱动产品。
有较强的沟通表达能力和团队协作能力，能协同UI、开发、测试等部门，推动项目上线。
有较强的学习和创新能力，能将创新模式能融入到业务中。
有较强的产品化能力，能配合运营、市场等部门业务策略的产品化落地。",,一般项目：园林绿化景观工程设计、施工、养护及技术服务；城市环境及道路清扫保洁；城市生活垃圾经营性清扫、收集、运输、处置服务（依法须经批准的项目，经相关部门批准后方可开展经营活动）；再生资源回收；公园管理；物业管理；市政公共设施管理；从事建筑相关业务（取得相关资质后方可执业）；种植、销售花卉、苗木；绿色植物租赁；机械设备租赁。【依法须经批准的项目，经相关部门批准后方可开展经营活动】，环境卫生公共设施安装服务，机械设备销售，企业管理咨询，信息系统集成服务，租赁服务（不含许可类租赁服务）（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
771,"https://www.liepin.com/job/1924424825.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=3&d_pageSize=40&d_headId=null&d_posi=15&skId=mkdaru8suoc98jrawx5le5229m64v7ua&fkId=mkdaru8suoc98jrawx5le5229m64v7ua&ckId=hvuqy9ntbxlkoo846njfr4q1qwhq6brb&sfrom=search_job_pc&curPage=3&pageSize=40&index=15
",互联网产品经理,高级互联网产品经理/总监,北京创金启富,35-60k,北京,5-10年,统招本科,"职位描述：
1、负责面向资管客户的投研SaaS平台、投管系统的规划和落地，深入分析市场情况，规划产品形态；
2、制定产品路线图，完成产品设计以及需求文档撰写工作，以及对重大需求的讲解及澄清；
3、带领团队与技术、业务等团队合作，推动研发进度，完成功能验收，达成项目目标；
4、负责与客户、业务部门沟通，深入跟进产品交付使用情况；
5、持续跟踪产品发布后的运营数据，推进产品迭代优化，不断提升产品的行业竞争力。
任职要求：
1、五年以上产品经验，对用户需求、用户体验、产品发展趋势有深刻的认识；
2、具有很强的战略性和创造性思维能力，逻辑思维清晰，有条理；
3、具备优秀的自驱能力、抗压能力，有很强的责任心及跨团队协作能力；
4、善于归纳总结，有钻研进取精神， 善于处理产品需求的不确定性；
5、有银行理财子、券商资管、基金、信托等机构投研产品经验，能独立带业务线最佳。

", 股票期权 带薪年假 午餐补助 节日礼物 扁平管理 五险一金 团队聚餐,公募基金及其他金融理财产品销售。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
772,"https://www.liepin.com/job/1956485137.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=3&d_pageSize=40&d_headId=null&d_posi=17&skId=mkdaru8suoc98jrawx5le5229m64v7ua&fkId=mkdaru8suoc98jrawx5le5229m64v7ua&ckId=hvuqy9ntbxlkoo846njfr4q1qwhq6brb&sfrom=search_job_pc&curPage=3&pageSize=40&index=17
",互联网产品经理,互联网产品经理-运动健康方向,荣耀终端,30-60k·16薪,北京-海淀区,3-5年,本科,"工作职责：
1、负责运动健康产品解决方案的标杆分析和行业洞察，获取业界发展趋势和最新动态，规划、识别和管理用户关键需求，明确产品定位，制定版本路标规划，保证具备行业竞争力；
2、协调部门内/跨部门各方面资源，包括交互、设计、开发、运营等支持，保证需求有效落地，以及项目整体顺利推进；
3、运营数据挖掘分析，通过数据驱动产品优化，持续牵引用户体验提升和产品改进，支撑产品商业目标的达成。

任职要求：
1.对穿戴设备/运动健康领域的端云产品或生态解决方案有成功经验及深入的理解；具备3年+行业经验优先；
2.善于进行行业洞察和标杆分析，有一定的行业影响力，对行业动态，合作伙伴的业务策略，商业模式有较全面的了解；
3.优秀的业务整体规划能力，有从零到一构建业务的经验，跨部门合作的沟通和协调能力，目标导向的推动落地能力。", 股票期权 加班补贴 扁平管理 岗位晋升 弹性工作,一般经营项目是：佣金代理；货物或技术进出口。，许可经营项目是：开发、生产、销售：通信及电子产品、计算机、卫星电视接收天线、高频头、数字卫星电视接收机、医疗器械（第一类、第二类、第三类医疗器械）及前述产品的配套产品，并提供技术咨询和售后服务；增值电信业务经营。
773,"https://www.liepin.com/job/1948331597.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=3&d_pageSize=40&d_headId=null&d_posi=18&skId=mkdaru8suoc98jrawx5le5229m64v7ua&fkId=mkdaru8suoc98jrawx5le5229m64v7ua&ckId=hvuqy9ntbxlkoo846njfr4q1qwhq6brb&sfrom=search_job_pc&curPage=3&pageSize=40&index=18
",互联网产品经理,互联网产品经理,三诺生物,10-17k·13薪,长沙,3-5年,本科,"工作职责：
1、负责医疗健康C端产品业务，规划产品策略，独立完成产品方案并推动需求落地； 
2、与开发、运营、设计等部门进行沟通，统筹版本的开发上线。包括流程设计、原型设计、需求文档撰写、评审、数据分析等，保证产品质量及使用效果； 
3、对产品进行持续优化，提升用户体验，深度挖掘用户需求。
任职要求：
1、本科及以上学历，3年以上医疗健康C端产品策划经验； 
2、具有较强的需求分析、产品规划、整体解决方案设计能力； 
3、逻辑思维能力强，有较强的用户调研和需求挖掘能力，具备优秀的沟通表达及团队协作能力； 
4、掌握产品经理的必要技能，在产品、技术、运营、市场各环节协调和推进产品路线 
5、有商业化模式探索，0-1产品项目经验佳； 
6、对医疗健康类产品有较强意愿度。", 带薪年假 免费班车 年度旅游 定期体检 节日礼物 五险一金 子女福利 公司规模大 发展空间大 年底双薪,生物传感技术及产品、医疗器械、保健产品的研究和开发；医疗器械、体外诊断试剂的生产、销售（凭许可证、审批文件经营）；电子产品、通信系统设备的研发、生产和销售；自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外；健康管理咨询；教育管理；预包装食品、食品、化妆品及卫生用品、护肤品、卫生消毒用品的销售；进口食品的零售；保健品、保健食品的销售；健康管理；计算机软件销售；软件开发；软件技术转让；软件技术服务；软件服务；软件测试服务；宠物专用品制造；动物诊疗；动物疾病诊断、诊疗和手术；宠物用品、医疗实验室设备和器具、日用品、检测设备、计量器具的销售；互联网药品信息服务；房屋租赁；第二类增值电信业务中的信息服务业务；经营增值电信业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
774,"https://www.liepin.com/job/1952688973.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=3&d_pageSize=40&d_headId=null&d_posi=19&skId=mkdaru8suoc98jrawx5le5229m64v7ua&fkId=mkdaru8suoc98jrawx5le5229m64v7ua&ckId=hvuqy9ntbxlkoo846njfr4q1qwhq6brb&sfrom=search_job_pc&curPage=3&pageSize=40&index=19
",互联网产品经理,互联网产品经理,德龙集团,10-25k,天津-东丽区,3-5年,本科,"岗位职责：

1. 负责对接不同相关方进行需求收集和分析，功能设计并输出产品需求文档，完成原型图和交互逻辑设计；

2. 根据优先级规划backlog list, 对产品backlog负责；

3. 和开发团队紧密合作，跟踪产品需求设计，开发，测试，验收，上线等各环节。确保产品按既定规划迭代，对产品实现进度和质量负责；

4. 根据需要撰写产品功能手册并发布，必要时提供对业务方的培训；

5. 与内部相关方及外部用户进行有效沟通和协作，对产品进行持续优化改进；

6. 对类似竞品进行调研和追踪并形成报告，和管理层一起定义产品愿景及路线图。

任职要求：

1. 本科以上学历，计算机，信息技术等相关专业毕业，3年以上互联网产品工作经验；

2. 有实际的大型复杂产品设计和管理经验；

3. 熟悉PC端平台产品开发常用技术和开发流程；

4. 有较强的逻辑能力和协调能力，执行力强；

5. 思维敏捷，工作细致有耐心，具备较强的数据敏感度和分析能力；

6. 有网络货运平台工作经验者优先；

7.男女不限

月薪资：10K-25K

工作地点：天津德达运输有限公司（天津市东丽区空港经济区经三路99号）", 带薪年假 午餐补助 定期体检 管理规范 五险一金 领导好 发展空间大 公司规模大,从事公司经营范围内的联络、咨询业务。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
775,"https://www.liepin.com/job/1958702359.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=3&d_pageSize=40&d_headId=null&d_posi=20&skId=mkdaru8suoc98jrawx5le5229m64v7ua&fkId=mkdaru8suoc98jrawx5le5229m64v7ua&ckId=hvuqy9ntbxlkoo846njfr4q1qwhq6brb&sfrom=search_job_pc&curPage=3&pageSize=40&index=20
",互联网产品经理,工业互联网产品经理,联想教育,18-40k,北京-海淀区,5-10年,统招本科,"对工业互联网产品线整体负责
岗位职责：
1、	负责工业互联网实训室方案的设计，整合集团内外部平台、设备优秀资源与案例，开发实训场景、实训项目，打造具有竞争力的工业互联网实训室产品方案；
2、	负责提炼产业发展人才需求，设计专业共建人才培养方案，参与以及指导课程体系开发；
3、	配合营销、市场、售前团队，制定面向客户的策略、打法，开发营销材料、售前材料；
4、	开展教师赋能工作，参与挖掘并指导具备专业授课能力的讲师团队；
5、	面向最终客户提供方案设计改造、方案沟通讲解，并指导方案落地实施的全过程工作。

任职要求：
1、历往业绩优良；
2、有企业实践，具备企业（智能制造业、能源行业等）数字化转型过程中，工业互联网方案设计、部署实施的经验与交付能力。对行业动向以及相关政策熟悉并了解，具备一定的行业前瞻性；
3、有技术，了解与掌握组网、数采、工业数据治理、工业APP开发等环节的流程、技术与主流平台操作；
4、有产品方案设计能力，有TO G产品方案的思维认知、以及TO G客户需求洞察SENSE;
5、有营销能力，善于提出概念创意以及对关键点的总结提炼能力；
6、其它：
1）具有优秀的沟通与表达能力，良好的组织协调能力与抗压能力；
2）有院校专业共建、实验室产品的解决方案设计经验者优先", 五险一金 绩效奖金 餐费补贴 扁平管理 发展空间大,技术开发、技术推广、技术转让、技术咨询、技术服务；教育咨询（中介服务除外）；企业策划；企业管理咨询；计算机系统服务；数据处理（数据处理中的银行卡中心、PUE值在1.4以上的云计算数据中心除外）；基础软件服务；应用软件服务；软件开发；组织文化艺术交流活动（不含营业性演出）；承办展览展示活动；会议服务；制作、代理、发布广告；出租办公用房；酒店管理；销售自行开发的产品、计算机、软件及辅助设备、机械设备、文化用品、电子产品；施工总承包；专业承包；劳务分包；包装装潢设计；工程设计。（市场主体依法自主选择经营项目，开展经营活动；工程设计以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
